x,y,z,u_x,u_y,u_z,F_i,F_true
-0.3291644,-0.091056034,0.3742185,0.1218535,-0.0028146661,-0.0063583986,0.0002502799,-0.027860785
0.07426718,0.12616053,-0.30433214,0.1218535,-0.0028146661,-0.0063583986,0.0048697945,-0.027860785
0.3460431,-0.13750738,-0.058289524,0.1218535,-0.0028146661,-0.0063583986,-0.016488116,-0.027860785
-0.102562,0.11662249,0.11828331,0.1218535,-0.0028146661,-0.0063583986,-0.017848022,-0.027860785
-0.3783248,-0.04444903,-0.44619855,0.1218535,-0.0028146661,-0.0063583986,0.0031994805,-0.027860785
0.06346774,-0.63617134,-0.10384373,0.1218535,-0.0028146661,-0.0063583986,0.007105522,-0.027860785
-0.4939247,-0.25746736,-0.059900336,0.1218535,-0.0028146661,-0.0063583986,-0.0040306896,-0.027860785
-0.443598,0.04008749,0.36440057,0.1218535,-0.0028146661,-0.0063583986,-0.0022289604,-0.027860785
0.3063145,-0.22307983,0.34995604,0.1218535,-0.0028146661,-0.0063583986,0.0030718595,-0.027860785
-0.2041623,0.28230414,0.2844925,0.1218535,-0.0028146661,-0.0063583986,0.003546223,-0.027860785
0.3496036,-0.30390143,-0.0799869,0.1218535,-0.0028146661,-0.0063583986,-0.0024983361,-0.027860785
0.3227167,-0.040646985,0.45261475,0.1218535,-0.0028146661,-0.0063583986,0.0027642548,-0.027860785
0.05098259,-0.53000176,0.042516395,0.1218535,-0.0028146661,-0.0063583986,0.008606721,-0.027860785
0.001401809,-0.29523855,0.24088597,0.1218535,-0.0028146661,-0.0063583986,0.008681688,-0.027860785
-0.2521749,0.393698,-0.19158883,0.1218535,-0.0028146661,-0.0063583986,0.005031064,-0.027860785
0.239561,0.1546824,-0.5278108,0.1218535,-0.0028146661,-0.0063583986,0.004927505,-0.027860785
-0.04119678,0.18988384,-0.19406193,0.1218535,-0.0028146661,-0.0063583986,0.00096079335,-0.027860785
-0.3932609,0.61481297,0.10984236,0.1218535,-0.0028146661,-0.0063583986,0.0046563596,-0.027860785
0.08233779,-0.40589297,-0.09171046,0.1218535,-0.0028146661,-0.0063583986,0.007991269,-0.027860785
-0.4419329,-0.037234724,0.5193265,0.1218535,-0.0028146661,-0.0063583986,0.0030021183,-0.027860785
0.4937008,-0.36505866,0.15952979,0.1372337,0.0020359105,0.0006656852,0.00013099611,-0.033352308
0.3252841,-0.0664629,-0.27863806,0.1372337,0.0020359105,0.0006656852,-0.0036284998,-0.033352308
0.1595699,0.49942118,-0.14865069,0.1372337,0.0020359105,0.0006656852,0.006368628,-0.033352308
0.2200674,-0.12115621,0.36367214,0.1372337,0.0020359105,0.0006656852,0.0032263603,-0.033352308
0.26986,0.31280243,-0.39468646,0.1372337,0.0020359105,0.0006656852,0.0054472554,-0.033352308
-0.01148548,-0.33021915,-0.31865725,0.1372337,0.0020359105,0.0006656852,0.008392643,-0.033352308
-0.01821093,-0.358836,-0.12486701,0.1372337,0.0020359105,0.0006656852,0.008229617,-0.033352308
-0.1600686,-0.56192166,0.10329011,0.1372337,0.0020359105,0.0006656852,0.008096032,-0.033352308
-0.321608,0.020339064,-0.0015291097,0.1372337,0.0020359105,0.0006656852,-0.02848539,-0.033352308
-0.2055135,-0.015899599,-0.41281468,0.1372337,0.0020359105,0.0006656852,0.005505938,-0.033352308
0.1715845,0.17306094,-0.26587525,0.1372337,0.0020359105,0.0006656852,0.0030166712,-0.033352308
-0.05889014,0.08851856,-0.206362,0.1372337,0.0020359105,0.0006656852,-0.005194431,-0.033352308
0.3628137,0.44067246,-0.14412831,0.1372337,0.0020359105,0.0006656852,0.0031106994,-0.033352308
